dayOfWeek,hourOfDay,P1,P2,year,month
Monday,20,12.952708333333334,7.265520833333336,2018,2
Monday,21,16.033956043956042,8.387032967032965,2018,2
Monday,22,19.383956043956058,9.65,2018,2
Monday,23,13.831818181818182,6.729772727272726,2018,2
Saturday,0,25.3459793814433,12.700515463917522,2018,2
Saturday,1,25.73082474226803,13.073092783505146,2018,2
Saturday,2,25.98122448979592,13.006020408163273,2018,2
Saturday,3,25.23367346938776,12.604693877551025,2018,2
Saturday,4,24.686597938144335,12.46237113402062,2018,2
Saturday,5,24.209387755102053,12.21448979591837,2018,2
Saturday,6,23.15163265306122,11.396938775510206,2018,2
Saturday,7,23.611212121212123,11.743434343434346,2018,2
Saturday,8,24.437244897959182,11.871428571428572,2018,2
Saturday,9,23.83857142857143,11.664285714285711,2018,2
Saturday,10,18.397474747474746,9.275656565656561,2018,2
Saturday,11,16.463958333333338,8.588958333333332,2018,2
Saturday,12,13.70520408163265,8.11877551020408,2018,2
Saturday,13,11.796288659793817,6.889999999999997,2018,2
Saturday,14,11.788469387755104,6.8430612244897935,2018,2
Saturday,15,12.498541666666663,6.877395833333336,2018,2
Saturday,16,12.127755102040819,6.824285714285714,2018,2
Saturday,17,13.714848484848485,6.837272727272727,2018,2
Saturday,18,15.833854166666674,7.930624999999999,2018,2
Saturday,19,21.3548,11.407199999999998,2018,2
Saturday,20,28.350104166666664,16.6371875,2018,2
Saturday,21,27.125300000000003,16.164299999999997,2018,2
Saturday,22,22.735520833333336,12.330104166666667,2018,2
Saturday,23,23.54202020202021,10.770404040404042,2018,2
Sunday,0,20.400416666666676,11.03291666666667,2018,2
Sunday,1,24.322989690721666,13.469072164948452,2018,2
Sunday,2,27.693229166666672,15.152604166666668,2018,2
Sunday,3,24.7582,13.952299999999997,2018,2
Sunday,4,22.047604166666662,12.81708333333333,2018,2
Sunday,5,21.321799999999993,12.068900000000001,2018,2
Sunday,6,17.3475,9.166354166666668,2018,2
Sunday,7,14.045900000000003,6.438300000000002,2018,2
Sunday,8,12.526354166666673,5.459270833333335,2018,2
Sunday,9,10.545199999999998,4.4124,2018,2
Sunday,10,8.137187499999998,3.686875,2018,2
Sunday,11,7.6443877551020405,3.4122448979591824,2018,2
Sunday,12,6.936804123711338,3.454536082474229,2018,2
Sunday,13,8.027171717171717,3.9109090909090902,2018,2
Sunday,14,8.092333333333332,3.9741111111111094,2018,2
Sunday,15,8.750204081632656,4.109081632653062,2018,2
Sunday,16,10.378775510204084,5.291530612244897,2018,2
Sunday,17,17.03581632653061,7.562142857142858,2018,2
Sunday,18,20.8184375,11.07302083333333,2018,2
Sunday,19,14.264387755102044,8.26612244897959,2018,2
Sunday,20,14.953368421052634,8.836315789473684,2018,2
Sunday,21,16.770700000000005,9.993699999999997,2018,2
Sunday,22,12.655104166666666,7.693125000000003,2018,2
Sunday,23,13.246599999999999,7.7745999999999995,2018,2
Thursday,0,22.66545454545454,8.678989898989895,2018,2
Thursday,1,19.3134375,7.287187499999998,2018,2
Thursday,2,20.27717171717173,7.284747474747476,2018,2
Thursday,3,18.55447916666666,6.587395833333335,2018,2
Thursday,4,13.194999999999999,5.192291666666667,2018,2
Thursday,5,11.907938144329899,4.763608247422681,2018,2
Thursday,6,14.42080808080808,5.643535353535353,2018,2
Thursday,7,18.3820618556701,8.202061855670108,2018,2
Thursday,8,21.0220202020202,9.702323232323232,2018,2
Thursday,9,17.869072164948445,8.311752577319588,2018,2
Thursday,10,16.594242424242427,7.261616161616158,2018,2
